208,18	328,18	328,268	208,268
208,16	328,16	328,266	208,266
208,16	328,16	328,266	208,266
207,16	327,16	327,266	207,266
207,16	327,16	327,266	207,266
207,16	327,16	327,266	207,266
207,16	327,16	327,266	207,266
207,16	327,16	327,266	207,266
208,16	328,16	328,266	208,266
208,16	328,16	328,266	208,266
209,16	329,16	329,266	209,266
209,18	329,18	329,268	209,268
208,18	328,18	328,268	208,268
208,20	328,20	328,270	208,270
207,22	327,22	327,272	207,272
207,26	327,26	327,276	207,276
208,28	328,28	328,278	208,278
209,30	329,30	329,280	209,280
210,32	330,32	330,282	210,282
211,32	331,32	331,282	211,282
214,34	334,34	334,284	214,284
214,32	334,32	334,282	214,282
214,32	334,32	334,282	214,282
215,32	335,32	335,282	215,282
216,30	336,30	336,280	216,280
217,30	337,30	337,280	217,280
217,28	337,28	337,278	217,278
217,28	337,28	337,278	217,278
215,26	335,26	335,276	215,276
213,26	333,26	333,276	213,276
211,24	331,24	331,274	211,274
210,24	330,24	330,274	210,274
209,24	329,24	329,274	209,274
